Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
2085,196146,Prof Geoffrey Weber IV,Mr,Male,1,Married,24,2021-08-26,2/10/2022,Inactive,2/10/2022,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1986
2086,196147,Libby Rice,Mr,Male,1,Married,24,2021-08-26,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1977
2088,51018,Eugene Windler,Mr,Male,1,Single,56,2021-08-31,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Helper,2002
2089,195034,Prof Carmelo Adams,Mr,Male,3,Single,31,2021-08-27,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,2002
2093,193177,Adonis Runolfsdottir,Mr,Male,1,Married,31,2021-08-25,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972
2094,5333,Noelia Cremin,Mr,Male,1,Married,22,2021-08-31,\N,Active,\N,673,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1989
2096,193178,Hilma Bartell,Mr,Male,1,Married,31,2021-08-13,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1994
2097,195035,Cortez Bartoletti,Mr,Male,3,Single,31,2021-08-27,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,2002
2101,1795090,Daron Bahringer,Mr,Male,1,Single,124,2021-09-01,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1973
2102,1795091,Jalyn Maggio,Mr,Male,1,Married,31,2021-09-01,3/31/2022,Inactive,3/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1966
2105,1795094,Treva Powlowski,Mr,Male,1,Single,31,2021-09-01,3/29/2022,Inactive,3/29/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1980
2106,1795095,Prof Braxton Bode DVM,Mr,Male,1,Single,31,2021-09-02,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985
2107,5334,Isadore Kirlin,Mr,Male,1,Married,78,2021-09-01,5/6/2022,Inactive,5/6/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Accountant,1985
2110,5337,Etha Wolf,Mr,Male,1,Single,83,2021-09-01,12/18/2021,Inactive,12/18/2021,\N,\N,Staff,Contarct Basis,Buddhist,Mechanical Engineer,1993
2111,5338,Prof Clay Buckridge,Mr,Male,1,Single,33,2021-09-01,12/27/2021,Inactive,12/27/2021,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1994
2112,5339,Deja Durgan,Mr,Male,1,Married,22,2021-09-01,10/1/2021,Inactive,10/1/2021,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1986
2116,1795098,Samanta Williamson,Mr,Male,1,Married,124,2021-09-06,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1991
2119,5340,Meredith Becker,Mr,Male,1,Married,6,2021-09-08,9/7/2022,Inactive,9/7/2022,2709,\N,Staff,Contarct Basis,Buddhist,Project Manager,1982
2120,1795099,Dashawn Kassulke,Mr,Male,1,Married,31,2021-09-09,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
2121,195037,Mr Demarco Shields,Mr,Male,1,Married,43,2021-09-04,3/29/2022,Inactive,3/29/2022,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,1991
2122,1795100,Tanner Hegmann,Mr,Male,1,Single,124,2021-09-10,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,2000
2123,1795101,Karley Jerde,Mr,Male,1,Single,31,2021-09-10,2/11/2022,Inactive,2/11/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997
2124,50041,Elmore Rutherford,Mr,Male,1,Married,33,2021-09-01,3/14/2022,Inactive,3/14/2022,2124,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1950
2126,203002,Duane Tromp III,Mr,Male,1,Married,24,2021-09-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1987
2127,203003,Dr Sammie Volkman,Mr,Male,1,Single,31,2021-09-01,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999
2132,1795102,Yoshiko Leannon,Mr,Male,1,Married,124,2021-09-13,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1958
2133,1795103,Mrs Marianna Shields,Mr,Male,1,Married,124,2021-09-13,4/10/2022,Inactive,4/10/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1973
2134,5341,Jewell Hoppe II,Mr,Male,5,Single,89,2021-09-13,9/14/2021,Inactive,9/14/2021,\N,\N,Staff,Contarct Basis,Muslim,Planning Engineer,1994
2135,5342,Eula Welch,Mr,Male,1,Single,22,2021-09-13,0000-00-00,Active,0000-00-00,2631,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1993
